Fingerprint,Description
PubchemFP680,C-C-C-C-C-C
PubchemFP681,O-C-C-C-C-C
PubchemFP682,O-C-C-C-C-O
PubchemFP683,O-C-C-C-C-N
PubchemFP684,N-C-C-C-C-C
PubchemFP685,O=C-C-C-C-C
PubchemFP686,O=C-C-C-C-N
PubchemFP687,O=C-C-C-C-O
PubchemFP688,O=C-C-C-C=O
PubchemFP689,C-C-C-C-C-C-C
PubchemFP690,O-C-C-C-C-C-C
PubchemFP691,O-C-C-C-C-C-O
PubchemFP692,O-C-C-C-C-C-N
PubchemFP693,O=C-C-C-C-C-C
PubchemFP694,O=C-C-C-C-C-O
PubchemFP695,O=C-C-C-C-C=O
PubchemFP696,O=C-C-C-C-C-N
PubchemFP697,C-C-C-C-C-C-C-C
PubchemFP698,C-C-C-C-C-C(C)-C
PubchemFP699,O-C-C-C-C-C-C-C
PubchemFP700,O-C-C-C-C-C(C)-C
PubchemFP701,O-C-C-C-C-C-O-C
PubchemFP702,O-C-C-C-C-C(O)-C
PubchemFP703,O-C-C-C-C-C-N-C
PubchemFP704,O-C-C-C-C-C(N)-C
PubchemFP705,O=C-C-C-C-C-C-C
PubchemFP706,O=C-C-C-C-C(O)-C
PubchemFP707,O=C-C-C-C-C(=O)-C
PubchemFP708,O=C-C-C-C-C(N)-C
PubchemFP709,C-C(C)-C-C
PubchemFP710,C-C(C)-C-C-C
PubchemFP711,C-C-C(C)-C-C
PubchemFP712,C-C(C)(C)-C-C
PubchemFP713,C-C(C)-C(C)-C
PubchemFP714,Cc1ccc(C)cc1
PubchemFP715,Cc1ccc(O)cc1
PubchemFP716,Cc1ccc(S)cc1
PubchemFP717,Cc1ccc(N)cc1
PubchemFP718,Cc1ccc(Cl)cc1
PubchemFP719,Cc1ccc(Br)cc1
PubchemFP720,Oc1ccc(O)cc1
PubchemFP721,Oc1ccc(S)cc1
PubchemFP722,Oc1ccc(N)cc1
PubchemFP723,Oc1ccc(Cl)cc1
PubchemFP724,Oc1ccc(Br)cc1
PubchemFP725,Sc1ccc(S)cc1
PubchemFP726,Sc1ccc(N)cc1
PubchemFP727,Sc1ccc(Cl)cc1
PubchemFP728,Sc1ccc(Br)cc1
PubchemFP729,Nc1ccc(N)cc1
PubchemFP730,Nc1ccc(Cl)cc1
PubchemFP731,Nc1ccc(Br)cc1
PubchemFP732,Clc1ccc(Cl)cc1
PubchemFP733,Clc1ccc(Br)cc1
PubchemFP734,Brc1ccc(Br)cc1
PubchemFP735,Cc1cc(C)ccc1
PubchemFP736,Cc1cc(O)ccc1
PubchemFP737,Cc1cc(S)ccc1
PubchemFP738,Cc1cc(N)ccc1
PubchemFP739,Cc1cc(Cl)ccc1
PubchemFP740,Cc1cc(Br)ccc1
PubchemFP741,Oc1cc(O)ccc1
PubchemFP742,Oc1cc(S)ccc1
PubchemFP743,Oc1cc(N)ccc1
PubchemFP744,Oc1cc(Cl)ccc1
PubchemFP745,Oc1cc(Br)ccc1
PubchemFP746,Sc1cc(S)ccc1
PubchemFP747,Sc1cc(N)ccc1
PubchemFP748,Sc1cc(Cl)ccc1
PubchemFP749,Sc1cc(Br)ccc1
PubchemFP750,Nc1cc(N)ccc1
PubchemFP751,Nc1cc(Cl)ccc1
PubchemFP752,Nc1cc(Br)ccc1
PubchemFP753,Clc1cc(Cl)ccc1
PubchemFP754,Clc1cc(Br)ccc1
PubchemFP755,Brc1cc(Br)ccc1
PubchemFP756,Cc1c(C)cccc1
PubchemFP757,Cc1c(O)cccc1
PubchemFP758,Cc1c(S)cccc1
PubchemFP759,Cc1c(N)cccc1
PubchemFP760,Cc1c(Cl)cccc1
PubchemFP761,Cc1c(Br)cccc1
PubchemFP762,Oc1c(O)cccc1
PubchemFP763,Oc1c(S)cccc1
PubchemFP764,Oc1c(N)cccc1
PubchemFP765,Oc1c(Cl)cccc1
PubchemFP766,Oc1c(Br)cccc1
PubchemFP767,Sc1c(S)cccc1
PubchemFP768,Sc1c(N)cccc1
PubchemFP769,Sc1c(Cl)cccc1
PubchemFP770,Sc1c(Br)cccc1
PubchemFP771,Nc1c(N)cccc1
PubchemFP772,Nc1c(Cl)cccc1
PubchemFP773,Nc1c(Br)cccc1
PubchemFP774,Clc1c(Cl)cccc1
PubchemFP775,Clc1c(Br)cccc1
PubchemFP776,Brc1c(Br)cccc1
PubchemFP777,CC1CCC(C)CC1
PubchemFP778,CC1CCC(O)CC1
PubchemFP779,CC1CCC(S)CC1
PubchemFP780,CC1CCC(N)CC1
PubchemFP781,CC1CCC(Cl)CC1
PubchemFP782,CC1CCC(Br)CC1
PubchemFP783,OC1CCC(O)CC1
PubchemFP784,OC1CCC(S)CC1
PubchemFP785,OC1CCC(N)CC1
PubchemFP786,OC1CCC(Cl)CC1
PubchemFP787,OC1CCC(Br)CC1
PubchemFP788,SC1CCC(S)CC1
PubchemFP789,SC1CCC(N)CC1
PubchemFP790,SC1CCC(Cl)CC1
PubchemFP791,SC1CCC(Br)CC1
PubchemFP792,NC1CCC(N)CC1
PubchemFP793,NC1CCC(Cl)CC1
PubchemFP794,NC1CCC(Br)CC1
PubchemFP795,ClC1CCC(Cl)CC1
PubchemFP796,ClC1CCC(Br)CC1
PubchemFP797,BrC1CCC(Br)CC1
PubchemFP798,CC1CC(C)CCC1
PubchemFP799,CC1CC(O)CCC1
PubchemFP800,CC1CC(S)CCC1
PubchemFP801,CC1CC(N)CCC1
PubchemFP802,CC1CC(Cl)CCC1
PubchemFP803,CC1CC(Br)CCC1
PubchemFP804,OC1CC(O)CCC1
PubchemFP805,OC1CC(S)CCC1
PubchemFP806,OC1CC(N)CCC1
PubchemFP807,OC1CC(Cl)CCC1
PubchemFP808,OC1CC(Br)CCC1
PubchemFP809,SC1CC(S)CCC1
PubchemFP810,SC1CC(N)CCC1
PubchemFP811,SC1CC(Cl)CCC1
PubchemFP812,SC1CC(Br)CCC1
PubchemFP813,NC1CC(N)CCC1
PubchemFP814,NC1CC(Cl)CCC1
PubchemFP815,NC1CC(Br)CCC1
PubchemFP816,ClC1CC(Cl)CCC1
PubchemFP817,ClC1CC(Br)CCC1
PubchemFP818,BrC1CC(Br)CCC1
PubchemFP819,CC1C(C)CCCC1
PubchemFP820,CC1C(O)CCCC1
PubchemFP821,CC1C(S)CCCC1
PubchemFP822,CC1C(N)CCCC1
PubchemFP823,CC1C(Cl)CCCC1
PubchemFP824,CC1C(Br)CCCC1
PubchemFP825,OC1C(O)CCCC1
PubchemFP826,OC1C(S)CCCC1
PubchemFP827,OC1C(N)CCCC1
PubchemFP828,OC1C(Cl)CCCC1
PubchemFP829,OC1C(Br)CCCC1
PubchemFP830,SC1C(S)CCCC1
PubchemFP831,SC1C(N)CCCC1
PubchemFP832,SC1C(Cl)CCCC1
PubchemFP833,SC1C(Br)CCCC1
PubchemFP834,NC1C(N)CCCC1
PubchemFP835,NC1C(Cl)CCCC1
PubchemFP836,NC1C(Br)CCCC1
PubchemFP837,ClC1C(Cl)CCCC1
PubchemFP838,ClC1C(Br)CCCC1
PubchemFP839,BrC1C(Br)CCCC1
PubchemFP840,CC1CC(C)CC1
PubchemFP841,CC1CC(O)CC1
PubchemFP842,CC1CC(S)CC1
PubchemFP843,CC1CC(N)CC1
PubchemFP844,CC1CC(Cl)CC1
PubchemFP845,CC1CC(Br)CC1
PubchemFP846,OC1CC(O)CC1
PubchemFP847,OC1CC(S)CC1
PubchemFP848,OC1CC(N)CC1
PubchemFP849,OC1CC(Cl)CC1
PubchemFP850,OC1CC(Br)CC1
PubchemFP851,SC1CC(S)CC1
PubchemFP852,SC1CC(N)CC1
PubchemFP853,SC1CC(Cl)CC1
PubchemFP854,SC1CC(Br)CC1
PubchemFP855,NC1CC(N)CC1
PubchemFP856,NC1CC(Cl)CC1
PubchemFP857,NC1CC(Br)CC1
PubchemFP858,ClC1CC(Cl)CC1
PubchemFP859,ClC1CC(Br)CC1
PubchemFP860,BrC1CC(Br)CC1
PubchemFP861,CC1C(C)CCC1
PubchemFP862,CC1C(O)CCC1
PubchemFP863,CC1C(S)CCC1
PubchemFP864,CC1C(N)CCC1
PubchemFP865,CC1C(Cl)CCC1
PubchemFP866,CC1C(Br)CCC1
PubchemFP867,OC1C(O)CCC1
PubchemFP868,OC1C(S)CCC1
PubchemFP869,OC1C(N)CCC1
PubchemFP870,OC1C(Cl)CCC1
PubchemFP871,OC1C(Br)CCC1
PubchemFP872,SC1C(S)CCC1
PubchemFP873,SC1C(N)CCC1
PubchemFP874,SC1C(Cl)CCC1
PubchemFP875,SC1C(Br)CCC1
PubchemFP876,NC1C(N)CCC1
PubchemFP877,NC1C(Cl)CC1
PubchemFP878,NC1C(Br)CCC1
PubchemFP879,ClC1C(Cl)CCC1
PubchemFP880,ClC1C(Br)CCC1
PubchemFP881,BrC1C(Br)CCC1
