Fingerprint,Description
PubchemFP156,>= 2 unsaturated non-aromatic nitrogen-containing ring size 5
PubchemFP157,>= 2 unsaturated non-aromatic heteroatom-containing ring size 5
PubchemFP158,>= 3 any ring size 5
PubchemFP159,>= 3 saturated or aromatic carbon-only ring size 5
PubchemFP160,>= 3 saturated or aromatic nitrogen-containing ring size 5
PubchemFP161,>= 3 saturated or aromatic heteroatom-containing ring size 5
PubchemFP162,>= 3 unsaturated non-aromatic carbon-only ring size 5
PubchemFP163,>= 3 unsaturated non-aromatic nitrogen-containing ring size 5
PubchemFP164,>= 3 unsaturated non-aromatic heteroatom-containing ring size 5
PubchemFP165,>= 4 any ring size 5
PubchemFP166,>= 4 saturated or aromatic carbon-only ring size 5
PubchemFP167,>= 4 saturated or aromatic nitrogen-containing ring size 5
PubchemFP168,>= 4 saturated or aromatic heteroatom-containing ring size 5
PubchemFP169,>= 4 unsaturated non-aromatic carbon-only ring size 5
PubchemFP170,>= 4 unsaturated non-aromatic nitrogen-containing ring size 5
PubchemFP171,>= 4 unsaturated non-aromatic heteroatom-containing ring size 5
PubchemFP172,>= 5 any ring size 5
PubchemFP173,>= 5 saturated or aromatic carbon-only ring size 5
PubchemFP174,>= 5 saturated or aromatic nitrogen-containing ring size 5
PubchemFP175,>= 5 saturated or aromatic heteroatom-containing ring size 5
PubchemFP176,>= 5 unsaturated non-aromatic carbon-only ring size 5
PubchemFP177,>= 5 unsaturated non-aromatic nitrogen-containing ring size 5
PubchemFP178,>= 5 unsaturated non-aromatic heteroatom-containing ring size 5
PubchemFP179,>= 1 any ring size 6
PubchemFP180,>= 1 saturated or aromatic carbon-only ring size 6
PubchemFP181,>= 1 saturated or aromatic nitrogen-containing ring size 6
PubchemFP182,>= 1 saturated or aromatic heteroatom-containing ring size 6
PubchemFP183,>= 1 unsaturated non-aromatic carbon-only ring size 6
PubchemFP184,>= 1 unsaturated non-aromatic nitrogen-containing ring size 6
PubchemFP185,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6
PubchemFP186,>= 2 any ring size 6
PubchemFP187,>= 2 saturated or aromatic carbon-only ring size 6
PubchemFP188,>= 2 saturated or aromatic nitrogen-containing ring size 6
